op,size,iters,total_ms,per_op_us,gflops_estimate
matmul,1024x1024,20,214.1462,6780.4680,316.7161
matmul,2048x2048,20,934.4717,46777.3885,367.2687
transpose,2048x2048,20,558.8026,27751.5575,
add,1024x1024,20,9.4942,460.0805,2.2791
add,2048x2048,20,147.5585,7367.4595,0.5693
mul,1024x1024,20,7.9748,406.0650,2.5823
mul,2048x2048,20,152.9269,7594.3910,0.5523
sum,2048x2048,20,23.0431,1136.1605,3.6916
softmax,512x1024,20,37.7253,1883.3445,1.3919
layer_norm,512x1024,20,22.7425,1137.1085,2.3054
